data,labels
"[ 0.          0.          0.         ... -0.12076679 -0.13668662
 -0.15302831]",Bengali
"[ 0.          0.          0.         ... -0.00801349 -0.00858737
 -0.00836336]",Bengali
"[ 0.          0.          0.         ... -0.00785101 -0.01756542
 -0.02659566]",Bengali
[0.         0.         0.         ... 0.13170953 0.13973701 0.14636743],Bengali
"[ 0.          0.          0.         ... -0.54573774 -0.5326759
 -0.5240191 ]",Bengali
[0.         0.         0.         ... 0.08273726 0.09390397 0.10706867],Bengali
[0.         0.         0.         ... 0.0182134  0.0186173  0.01856896],Bengali
"[ 0.          0.          0.         ... -0.30932662 -0.33227986
 -0.3446102 ]",Bengali
"[ 0.          0.          0.         ... -0.2176765  -0.22411427
 -0.22887175]",Bengali
"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.3975708e-05 1.6039285e-05
 6.4150340e-06]",Bengali
[0.         0.         0.         ... 0.00187034 0.00235727 0.00266368],Bengali
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.9564888e-04
 -6.0743554e-05 -2.6811513e-05]",Bengali
[0.         0.         0.         ... 0.02454577 0.0161266  0.00040433],Bengali
[0.         0.         0.         ... 0.00029142 0.00021744 0.00041563],Bengali
"[ 0.          0.          0.         ... -0.13822336 -0.15093563
 -0.16220069]",Bengali
"[ 0.          0.          0.         ... -0.22976917 -0.22001693
 -0.21218833]",Bengali
"[ 0.          0.          0.         ... -0.22328822 -0.20821257
 -0.19426557]",Bengali
[0.         0.         0.         ... 0.16781458 0.16698411 0.16735135],Bengali
"[ 0.          0.          0.         ... -0.01163309 -0.0117061
 -0.01398697]",Bengali
[0.         0.         0.         ... 0.04409498 0.05990352 0.08148018],Bengali
[0.         0.         0.         ... 0.06962407 0.07040133 0.07095087],Bengali
"[ 0.          0.          0.         ... -0.01941895 -0.01974721
 -0.01835294]",Bengali
[0.         0.         0.         ... 0.16645057 0.15684946 0.14831042],Bengali
"[ 0.          0.          0.         ... -0.20273095 -0.21284634
 -0.22550839]",Bengali
"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.5563804e-05 5.1625899e-05
 3.2697889e-04]",Bengali
"[ 0.          0.          0.         ... -0.0068788  -0.01663252
 -0.03228242]",Bengali
[0.         0.         0.         ... 0.05310334 0.05941832 0.06646783],Bengali
"[ 0.          0.          0.         ... -0.02257469 -0.02174336
 -0.02104003]",Bengali
[0.         0.         0.         ... 0.05199732 0.05000475 0.04910271],Bengali
[0.         0.         0.         ... 0.15248321 0.13936657 0.13100904],Bengali
[0.         0.         0.         ... 0.10691396 0.11157313 0.11377927],Bengali
"[ 0.          0.          0.         ... -0.04778572 -0.04240282
 -0.0364326 ]",Bengali
[0.         0.         0.         ... 0.05583384 0.0679861  0.07928443],Bengali
[0.         0.         0.         ... 0.07924741 0.07435073 0.06947614],Bengali
[0.         0.         0.         ... 0.01494357 0.01415973 0.01924133],Bengali
"[ 0.          0.          0.         ... -0.00141697 -0.0057912
 -0.00989707]",Bengali
[0.         0.         0.         ... 0.11407189 0.14853726 0.18385717],Bengali
[0.         0.         0.         ... 0.00057969 0.00070511 0.00069892],Bengali
[0.         0.         0.         ... 0.01348911 0.01453966 0.01630821],Bengali
"[ 0.          0.          0.         ... -0.03521078 -0.03814499
 -0.02896967]",Bengali
[0.         0.         0.         ... 0.00117413 0.00039948 0.00023821],Bengali
[0.         0.         0.         ... 0.0056392  0.00560146 0.00554349],Bengali
"[ 0.          0.          0.         ... -0.00579156 -0.0066328
 -0.00695491]",Bengali
[0.         0.         0.         ... 0.00045112 0.00036089 0.0004131 ],Bengali
"[ 0.          0.          0.         ... -0.3277683  -0.32342187
 -0.31958044]",Bengali
[0.         0.         0.         ... 0.01201509 0.0147787  0.016267  ],Bengali
"[ 0.          0.          0.         ... -0.36194924 -0.39584026
 -0.42886156]",Bengali
"[ 0.          0.          0.         ... -0.38845417 -0.43099916
 -0.46995848]",Bengali
"[ 0.          0.          0.         ... -0.02544433 -0.03174191
 -0.03498946]",Bengali
[0.         0.         0.         ... 0.28483638 0.2754094  0.26537192],Bengali
"[ 0.          0.          0.         ... -0.10384749 -0.06124668
 -0.01596877]",Bengali
"[ 0.          0.          0.         ... -0.00052185 -0.00063441
 -0.00072513]",Bengali
"[ 0.          0.          0.         ... -0.39294013 -0.3979728
 -0.39997625]",Bengali
"[ 0.          0.          0.         ... -0.49586955 -0.4828045
 -0.5922365 ]",Bengali
[0.         0.         0.         ... 0.00067927 0.00091581 0.00113675],Bengali
"[ 0.          0.          0.         ... -0.00867027 -0.01154762
 -0.01402695]",Bengali
"[ 0.          0.          0.         ... -0.00346545 -0.00338881
 -0.00333646]",Bengali
[0.         0.         0.         ... 0.03703759 0.03887876 0.04055014],Bengali
[0.         0.         0.         ... 0.00590456 0.00571254 0.00546632],Bengali
"[ 0.          0.          0.         ... -0.02013767 -0.01946232
 -0.01927336]",Bengali
[0.         0.         0.         ... 0.01148717 0.02277325 0.01778668],Bengali
[0.         0.         0.         ... 0.07615189 0.07881378 0.08200327],Bengali
"[ 0.          0.          0.         ... -0.03916818 -0.05589964
 -0.07200351]",Bengali
"[ 0.          0.          0.         ... -0.00054299 -0.0005349
 -0.00052476]",Bengali
[0.         0.         0.         ... 0.00038501 0.00036629 0.00038965],Bengali
[0.         0.         0.         ... 0.00124813 0.00063333 0.00113836],Bengali
[0.         0.         0.         ... 0.00616238 0.01310547 0.01479555],Bengali
"[ 0.          0.          0.         ... -0.02193025 -0.04376835
 -0.0554377 ]",Bengali
"[ 0.          0.          0.         ... -0.03123149 -0.03527883
 -0.03895418]",Bengali
"[ 0.          0.          0.         ... -0.00062756 -0.00046748
  0.00162018]",Bengali
"[ 0.          0.          0.         ... -0.17526537 -0.17658769
 -0.18487431]",Bengali
[0.         0.         0.         ... 0.00440854 0.00592649 0.00669016],Bengali
[0.         0.         0.         ... 0.00995769 0.01316794 0.01313138],Bengali
"[ 0.          0.          0.         ... -0.00428645 -0.01749563
 -0.01741603]",Bengali
[0.         0.         0.         ... 0.01491381 0.02449642 0.04723277],Bengali
"[ 0.          0.          0.         ... -0.3943054  -0.45468852
 -0.5192015 ]",Bengali
"[ 0.          0.          0.         ... -0.00118835 -0.00122115
 -0.00125797]",Bengali
"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.5309689e-06 2.0856940e-05
 3.9483308e-05]",Bengali
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.1579248e-04
  1.0613189e-03 -6.6134184e-05]",Bengali
"[ 0.          0.          0.         ... -0.00103555  0.00184698
  0.00565109]",Bengali
[0.         0.         0.         ... 0.00644924 0.00635179 0.0061771 ],Bengali
"[ 0.          0.          0.         ... -0.07153947 -0.07144959
 -0.07343858]",Bengali
"[ 0.          0.          0.         ... -0.00664018 -0.00620557
 -0.00563939]",Bengali
"[ 0.          0.          0.         ... -0.0010461  -0.00106649
 -0.0010663 ]",Bengali
"[ 0.          0.          0.         ... -0.07344079 -0.07433493
 -0.07508072]",Bengali
[0.         0.         0.         ... 0.00113418 0.00131488 0.00148635],Bengali
"[ 0.          0.          0.         ... -0.01289613 -0.01332618
 -0.0136357 ]",Bengali
"[ 0.          0.          0.         ... -0.5010625  -0.48572424
 -0.46817133]",Bengali
"[ 0.          0.          0.         ... -0.26254907 -0.26845056
 -0.27168137]",Bengali
[0.         0.         0.         ... 0.2737671  0.2755124  0.27138978],Bengali
"[ 0.          0.          0.         ... -0.00879553 -0.00949897
 -0.00989717]",Bengali
"[ 0.          0.          0.         ... -0.04831342 -0.04953882
 -0.01128312]",Bengali
"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6112291e-04 1.2009986e-04
 8.0008576e-05]",Bengali
"[ 0.          0.          0.         ... -0.04510997 -0.08060577
 -0.08418406]",Bengali
"[ 0.          0.          0.         ... -0.0012897  -0.00108932
 -0.00095031]",Bengali
"[ 0.          0.          0.         ... -0.01323634 -0.01539009
 -0.01635139]",Bengali
"[ 0.          0.          0.         ... -0.00585515 -0.00581519
 -0.0057666 ]",Bengali
[0.         0.         0.         ... 0.08540233 0.07382182 0.06234892],Bengali
[0.         0.         0.         ... 0.0902429  0.11095758 0.1365611 ],Bengali
"[ 0.          0.          0.         ... -0.00173645 -0.0025893
 -0.0051116 ]",Bengali
[0.         0.         0.         ... 0.04226398 0.04399748 0.04689573],Bengali
[0.         0.         0.         ... 0.02799345 0.03172703 0.00987899],Bengali
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.2211236e-07
 -8.3893917e-07 -5.6758569e-07]",Bengali
"[ 0.          0.          0.         ... -0.01173974 -0.01222985
 -0.01204015]",Bengali
"[ 0.          0.          0.         ... -0.01262515 -0.01254664
 -0.01151819]",Bengali
"[ 0.          0.          0.         ... -0.03206499 -0.02881957
 -0.03103047]",Bengali
[0.         0.         0.         ... 0.27276146 0.2394972  0.21243227],Bengali
[0.         0.         0.         ... 0.00313016 0.00359669 0.00342541],Bengali
"[ 0.          0.          0.         ... -0.00475708 -0.00262124
 -0.00166965]",Bengali
"[ 0.          0.          0.         ... -0.04691784 -0.04641167
 -0.04642218]",Bengali
"[ 0.          0.          0.         ...  0.01210147  0.00320958
 -0.00923046]",Bengali
"[ 0.          0.          0.         ... -0.05235292 -0.05283946
 -0.08664983]",Bengali
